format: 0, nTracks: 1, division: 480
----------------------------------

Start - track #0
time_signature: 4 2 24 8
tempo: 500000
note_on  - ch:00,  note:26,  vel:37 time:498
note_on  - ch:00,  note:3E,  vel:3A time:14
note_on  - ch:00,  note:20,  vel:80 time:32
note_on  - ch:00,  note:40,  vel:0B time:38
note_on  - ch:00,  note:3E,  vel:40 time:62
note_on  - ch:00,  note:40,  vel:32 time:151
note_on  - ch:00,  note:25,  vel:80 time:37
note_on  - ch:00,  note:40,  vel:80 time:64
note_on  - ch:00,  note:41,  vel:3C time:121
note_on  - ch:00,  note:35,  vel:3C time:9
note_on  - ch:00,  note:39,  vel:37 time:8
note_off - ch:00,  note:41,  vel:40 time:22
note_off - ch:00,  note:35,  vel:40 time:6
note_off - ch:00,  note:39,  vel:40 time:3
note_off - ch:00,  note:3C,  vel:90 time:60
note_off - ch:00,  note:3C,  vel:80 time:67
note_off - ch:00,  note:43,  vel:40 time:36
note_off - ch:00,  note:76,  vel:90 time:118
note_off - ch:00,  note:3C,  vel:10 time:69
note_off - ch:00,  note:44,  vel:16 time:2086
note_off - ch:00,  note:45,  vel:40 time:69
note_off - ch:00,  note:26,  vel:40 time:25
note_off - ch:00,  note:41,  vel:90 time:65
note_off - ch:00,  note:43,  vel:80 time:67
note_off - ch:00,  note:43,  vel:40 time:38
note_off - ch:00,  note:7D,  vel:90 time:125
note_off - ch:00,  note:3C,  vel:00 time:55
note_off - ch:00,  note:42,  vel:04 time:2110
note_off - ch:00,  note:32,  vel:1A time:2107
note_off - ch:00,  note:37,  vel:40 time:55
note_off - ch:00,  note:3B,  vel:40 time:7
note_off - ch:00,  note:3E,  vel:40 time:9
note_off - ch:00,  note:3A,  vel:90 time:58
note_off - ch:00,  note:42,  vel:80 time:67
note_off - ch:00,  note:43,  vel:40 time:37
note_off - ch:00,  note:59,  vel:B0 time:89
note_off - ch:00,  note:17,  vel:15 time:64
note_off - ch:00,  note:34,  vel:01 time:6208
note_off - ch:00,  note:44,  vel:11 time:2117
note_off - ch:00,  note:40,  vel:17 time:6208
note_off - ch:00,  note:45,  vel:40 time:69
controller - ch: 00, cont: #40, value: 45
note_on  - ch:00,  note:26,  vel:26 time:0
controller - ch: 00, cont: #40, value: 4D
controller - ch: 00, cont: #40, value: 5C
note_off - ch:00,  note:26,  vel:40 time:7
controller - ch: 00, cont: #40, value: 7F
controller - ch: 00, cont: #40, value: 72
controller - ch: 00, cont: #40, value: 53
controller - ch: 00, cont: #40, value: 41
note_on  - ch:00,  note:45,  vel:40 time:0
note_on  - ch:00,  note:3E,  vel:3B time:2
controller - ch: 00, cont: #40, value: 2A
note_on  - ch:00,  note:41,  vel:32 time:6
note_off - ch:00,  note:45,  vel:40 time:6
controller - ch: 00, cont: #40, value: 00
note_on  - ch:00,  note:39,  vel:2B time:0
note_off - ch:00,  note:3E,  vel:40 time:6
note_off - ch:00,  note:41,  vel:40 time:9
note_off - ch:00,  note:39,  vel:40 time:16
note_on  - ch:00,  note:47,  vel:2D time:225
note_on  - ch:00,  note:41,  vel:90 time:65
note_on  - ch:00,  note:39,  vel:02 time:69
note_on  - ch:00,  note:25,  vel:0A time:2105
