format: 0, nTracks: 1, division: 480
----------------------------------

Start - track #0
sequence_name: Seq-1
smtp_offset 96 0 0 0 0
time_signature: 4 2 24 8
tempo: 500000
note_on  - ch:00,  note:47,  vel:3F time:455
note_off - ch:00,  note:47,  vel:40 time:114
note_on  - ch:00,  note:45,  vel:3F time:0
note_on  - ch:00,  note:44,  vel:3F time:113
note_off - ch:00,  note:45,  vel:40 time:1
note_off - ch:00,  note:44,  vel:40 time:113
note_on  - ch:00,  note:45,  vel:3F time:0
note_off - ch:00,  note:45,  vel:40 time:114
note_on  - ch:00,  note:48,  vel:3E time:0
note_on  - ch:00,  note:39,  vel:39 time:0
note_off - ch:00,  note:48,  vel:40 time:37
note_on  - ch:00,  note:3C,  vel:31 time:182
note_on  - ch:00,  note:40,  vel:31 time:0
note_off - ch:00,  note:3C,  vel:40 time:73
note_off - ch:00,  note:40,  vel:40 time:0
note_off - ch:00,  note:39,  vel:40 time:29
note_on  - ch:00,  note:4A,  vel:3F time:117
note_on  - ch:00,  note:3C,  vel:31 time:0
note_on  - ch:00,  note:40,  vel:31 time:0
note_off - ch:00,  note:3C,  vel:40 time:73
note_off - ch:00,  note:40,  vel:40 time:0
note_off - ch:00,  note:4A,  vel:40 time:36
note_on  - ch:00,  note:48,  vel:3F time:0
note_off - ch:00,  note:48,  vel:40 time:109
note_on  - ch:00,  note:47,  vel:3F time:0
note_on  - ch:00,  note:3C,  vel:31 time:0
note_on  - ch:00,  note:40,  vel:31 time:0
note_off - ch:00,  note:3C,  vel:40 time:73
note_off - ch:00,  note:40,  vel:40 time:0
note_off - ch:00,  note:47,  vel:40 time:36
note_on  - ch:00,  note:48,  vel:3F time:1
note_off - ch:00,  note:48,  vel:40 time:109
note_on  - ch:00,  note:4C,  vel:3B time:0
note_on  - ch:00,  note:39,  vel:39 time:5
note_off - ch:00,  note:4C,  vel:40 time:30
note_on  - ch:00,  note:3C,  vel:31 time:217
note_on  - ch:00,  note:40,  vel:31 time:0
note_off - ch:00,  note:3C,  vel:40 time:84
note_off - ch:00,  note:40,  vel:40 time:0
note_off - ch:00,  note:39,  vel:40 time:38
note_on  - ch:00,  note:4D,  vel:41 time:129
note_on  - ch:00,  note:3C,  vel:31 time:0
note_on  - ch:00,  note:40,  vel:31 time:0
note_off - ch:00,  note:3C,  vel:40 time:72
note_off - ch:00,  note:40,  vel:40 time:0
note_off - ch:00,  note:4D,  vel:40 time:36
note_on  - ch:00,  note:4C,  vel:41 time:0
note_off - ch:00,  note:4C,  vel:40 time:108
note_on  - ch:00,  note:4B,  vel:41 time:1
note_on  - ch:00,  note:3C,  vel:31 time:0
note_on  - ch:00,  note:40,  vel:31 time:0
note_off - ch:00,  note:3C,  vel:40 time:72
note_off - ch:00,  note:40,  vel:40 time:0
note_off - ch:00,  note:4B,  vel:40 time:36
note_on  - ch:00,  note:4C,  vel:41 time:0
note_off - ch:00,  note:4C,  vel:40 time:108
note_on  - ch:00,  note:53,  vel:47 time:0
note_on  - ch:00,  note:39,  vel:39 time:2
note_off - ch:00,  note:53,  vel:40 time:104
note_on  - ch:00,  note:51,  vel:47 time:0
note_off - ch:00,  note:51,  vel:40 time:106
